epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6345,0.74667,2.95307,1.0647,0.00929,0.975,0.25815,0.19293,0.5929,3.00898,0.97922,6e-05,6e-05,6e-05
2,16.0788,0.72393,2.72865,1.00908,0.00952,1,0.8452,0.7079,0.59303,2.71725,0.90461,0.000137228,0.000137228,0.000137228
3,19.7217,0.722,1.81513,0.99281,1,0.63034,0.96525,0.79852,0.62371,2.14097,0.85666,0.000211288,0.000211288,0.000211288
4,23.358,0.88185,1.18031,1.06517,0.94383,0.875,0.9807,0.79601,0.75303,1.64167,0.84639,0.00028218,0.00028218,0.00028218
5,26.9512,0.70924,0.97453,0.95892,0.94366,0.875,0.97504,0.80864,0.66654,1.67783,0.83402,0.000349904,0.000349904,0.000349904
6,30.5536,0.70556,0.95483,0.94607,0.9365,0.73763,0.95038,0.79389,0.6618,1.96358,0.84094,0.00041446,0.00041446,0.00041446
7,34.0229,0.6604,0.88098,0.95798,1,0.39891,0.92754,0.71506,0.78663,2.27939,0.90416,0.000475848,0.000475848,0.000475848
8,37.5746,0.78849,0.93061,0.97099,1,0.36515,0.93034,0.72565,0.74189,2.32466,0.92236,0.000534068,0.000534068,0.000534068
9,40.9853,0.70086,0.81861,0.93815,1,0.52606,0.92417,0.71448,0.74505,2.30005,0.92033,0.00058912,0.00058912,0.00058912
10,44.5963,0.70637,0.8922,0.97962,1,0.61008,0.92966,0.70367,0.70626,2.20092,0.91054,0.000641004,0.000641004,0.000641004
11,48.0768,0.68666,0.80318,0.93983,1,0.69949,0.94277,0.76501,0.6955,2.03533,0.89895,0.00068972,0.00068972,0.00068972
12,51.3988,0.68108,0.81422,0.93392,0.96168,0.62756,0.91333,0.69957,0.9437,2.1184,0.9673,0.000735268,0.000735268,0.000735268
13,55.0151,0.70696,0.78061,0.93628,0.96351,0.8,0.9027,0.73881,0.76195,1.73734,0.89834,0.000777648,0.000777648,0.000777648
14,58.3416,0.70082,0.77642,0.93875,0.97126,0.84507,0.93346,0.78263,0.61931,1.59384,0.85959,0.00081686,0.00081686,0.00081686
15,61.6382,0.6261,0.71606,0.90694,1,0.79854,0.92272,0.75853,0.67173,1.81482,0.88929,0.000852904,0.000852904,0.000852904
16,65.0459,0.65912,0.80614,0.9549,1,0.75804,0.90531,0.75884,0.69206,1.82761,0.9101,0.00088578,0.00088578,0.00088578
17,68.754,0.71363,0.7738,0.95931,0.96698,0.73221,0.87281,0.7138,0.74027,1.76531,0.93665,0.000915488,0.000915488,0.000915488
18,72.4157,0.72338,0.76074,0.99238,1,0.82083,0.89165,0.74935,0.70316,1.63842,0.91927,0.000942028,0.000942028,0.000942028
19,75.7723,0.62181,0.72615,0.95076,0.97128,0.84551,0.89672,0.7289,0.70279,1.5847,0.92122,0.0009654,0.0009654,0.0009654
20,79.1332,0.60823,0.70148,0.89581,0.97309,0.90406,0.97185,0.78367,0.71211,1.34407,0.91154,0.000985604,0.000985604,0.000985604
21,82.5805,0.63693,0.6648,0.9023,0.99465,1,0.995,0.82129,0.69875,1.01189,0.91873,0.00100264,0.00100264,0.00100264
22,85.9545,0.64353,0.87113,0.93329,0.99235,1,0.995,0.84625,0.65411,0.99694,0.91082,0.00101651,0.00101651,0.00101651
23,89.6118,0.70075,0.73733,0.94276,0.97995,0.925,0.99329,0.84108,0.64365,1.07678,0.90208,0.00102721,0.00102721,0.00102721
24,92.8931,0.61594,0.71406,0.91715,0.90902,0.875,0.98099,0.83361,0.64185,1.13264,0.89959,0.00103474,0.00103474,0.00103474
25,96.2618,0.66938,0.7294,0.95932,0.95293,0.9,0.97093,0.82108,0.64307,1.06148,0.90378,0.0010391,0.0010391,0.0010391
26,99.6583,0.67298,0.67265,0.93733,0.97374,0.92696,0.97238,0.81176,0.65752,0.98697,0.92365,0.00101,0.00101,0.00101
27,103.158,0.5948,0.67438,0.92084,0.97379,0.975,0.97406,0.81267,0.6356,0.93062,0.91988,0.0009704,0.0009704,0.0009704
28,106.526,0.63315,0.63276,0.91632,0.96928,0.975,0.97327,0.8167,0.6457,0.88397,0.93283,0.0009308,0.0009308,0.0009308
29,110.012,0.63503,0.66123,0.92826,1,0.96715,0.97521,0.81796,0.65728,0.84433,0.95228,0.0008912,0.0008912,0.0008912
30,113.288,0.59124,0.61585,0.92622,1,0.9708,0.97527,0.8029,0.67303,0.86905,0.96157,0.0008516,0.0008516,0.0008516
31,116.773,0.60631,0.60917,0.9064,0.95077,0.96588,0.97424,0.80528,0.6763,0.90851,0.96487,0.000812,0.000812,0.000812
32,120.487,0.61548,0.63778,0.93494,0.93809,0.95,0.97175,0.77927,0.66752,0.93917,0.96364,0.0007724,0.0007724,0.0007724
33,124.354,0.59127,0.60829,0.90232,0.92359,0.90662,0.96523,0.78491,0.664,1.03779,0.96479,0.0007328,0.0007328,0.0007328
34,127.782,0.61758,0.58542,0.9278,0.92252,0.89317,0.95717,0.78673,0.6621,1.04499,0.96362,0.0006932,0.0006932,0.0006932
35,131.086,0.56994,0.57208,0.92509,0.94913,0.93297,0.96109,0.81416,0.62556,0.94134,0.94159,0.0006536,0.0006536,0.0006536
36,134.545,0.57104,0.57197,0.91003,0.97428,0.94723,0.983,0.82266,0.59734,0.82284,0.93431,0.000614,0.000614,0.000614
37,137.848,0.5745,0.63441,0.9127,0.97325,0.95,0.97758,0.83389,0.57574,0.74688,0.93019,0.0005744,0.0005744,0.0005744
38,141.147,0.56972,0.59534,0.89809,0.97186,0.95,0.97168,0.82872,0.56591,0.74292,0.9279,0.0005348,0.0005348,0.0005348
39,144.366,0.54536,0.53968,0.89244,0.97163,0.95,0.97144,0.82844,0.56703,0.71238,0.92707,0.0004952,0.0004952,0.0004952
40,147.741,0.5267,0.54301,0.90517,0.97253,0.95,0.97955,0.8224,0.57788,0.69381,0.92387,0.0004556,0.0004556,0.0004556
41,151.038,0.47677,0.69663,0.85032,0.97332,0.95,0.98296,0.81877,0.58142,0.69678,0.91866,0.000416,0.000416,0.000416
42,154.314,0.51463,0.67055,0.88544,0.9743,0.94787,0.97018,0.81708,0.57504,0.71107,0.91152,0.0003764,0.0003764,0.0003764
43,157.561,0.49699,0.6202,0.87602,0.97247,0.925,0.96771,0.81639,0.56518,0.78516,0.91133,0.0003368,0.0003368,0.0003368
44,161.365,0.49428,0.59929,0.8449,0.9736,0.92211,0.94218,0.80779,0.55407,0.80203,0.90597,0.0002972,0.0002972,0.0002972
45,164.613,0.47233,0.634,0.84756,0.99548,0.9,0.9422,0.82032,0.54448,0.76816,0.90254,0.0002576,0.0002576,0.0002576
46,168.185,0.46782,0.60718,0.86104,0.99636,0.9,0.96082,0.82274,0.5363,0.72934,0.89956,0.000218,0.000218,0.000218
47,171.663,0.42575,0.5848,0.82232,0.99766,0.9,0.97265,0.83267,0.5319,0.68433,0.89822,0.0001784,0.0001784,0.0001784
48,175.099,0.43941,0.56293,0.84103,0.9981,0.9,0.97925,0.84323,0.52712,0.65859,0.89863,0.0001388,0.0001388,0.0001388
49,178.549,0.46512,0.55503,0.85999,0.99822,0.9,0.97995,0.85251,0.53085,0.63859,0.90019,9.92e-05,9.92e-05,9.92e-05
50,182.246,0.45981,0.54205,0.83325,0.99813,0.9,0.9823,0.85544,0.53463,0.62576,0.90086,5.96e-05,5.96e-05,5.96e-05
